,feature,value
26,part,26597.175338745117
22,bundle_lag_time,22680.21061015129
1,task_container_id,20213.999184131622
17,lag_time,14721.252234220505
15,shift_elapsed_time,9834.716970920563
6,retention,7932.878596305847
0,content_id,7433.473391056061
27,has_seen_question_explanation,6418.228044509888
14,shift_event_time,5973.724662303925
2,days,5388.655643224716
25,bundle_id,4492.738266944885
4,prior_minutes,3811.7760956287384
16,event_lag_time,2656.8335938453674
24,tag_has_above_average_correctness,1712.4689965248108
8,has_seen_same_tag_as_lecture,1592.032552242279
18,question_answered_late,1016.8883008956909
20,question_took_more_than_average_user_time,719.4020109176636
21,has_more_than_average_bundle_time,636.7740902900696
7,has_seen_lecture_before,574.6905908584595
12,has_tag_common_with_part_dict,543.9625873565674
9,has_seen_same_part_as_lecture,373.15442419052124
19,event_time_greater_than_average,241.51019048690796
11,has_tag_common_with_type_of,132.24459075927734
10,has_part_common_with_type_of,115.92570638656616
5,intro_section,0.0
13,has_type_of_common_with_part_dict,0.0
3,hours,0.0
23,question_has_above_average_correctness,0.0
